energy;distance;angle
-396.532373448;0.6500;92.0
-396.533432165;0.6500;93.0
-396.534398746;0.6500;94.0
-396.5352742;0.6500;95.0
-396.536059589;0.6500;96.0
-396.536756027;0.6500;97.0
-396.537364675;0.6500;98.0
-396.537886744;0.6500;99.0
-397.063030181;0.7000;100.0
-397.063255772;0.7000;101.0
-397.063401963;0.7000;102.0
-397.063469979;0.7000;103.0
-397.063461074;0.7000;104.0
-397.06337653;0.7000;105.0
-397.063217657;0.7000;106.0
-397.06298579;0.7000;107.0
-397.062682291;0.7000;108.0
-397.062308545;0.7000;109.0
-397.061865959;0.7000;110.0
-397.061355968;0.7000;111.0
-397.060780026;0.7000;112.0
-397.060139614;0.7000;113.0
-397.059436236;0.7000;114.0
-397.058671421;0.7000;115.0
-397.057846724;0.7000;116.0
-397.056963725;0.7000;117.0
-397.056024034;0.7000;118.0
-397.05502929;0.7000;119.0
-397.053981159;0.7000;120.0
-397.052881343;0.7000;121.0
-397.051731572;0.7000;122.0
-397.050533613;0.7000;123.0
-397.049289269;0.7000;124.0
-397.048000378;0.7000;125.0
-397.046668818;0.7000;126.0
-397.045296503;0.7000;127.0
-397.04388539;0.7000;128.0
-397.042437479;0.7000;129.0
-397.040954809;0.7000;130.0
-397.039439465;0.7000;131.0
-397.037893577;0.7000;132.0
-397.036319318;0.7000;133.0
-397.034718908;0.7000;134.0
-397.033094613;0.7000;135.0
-397.031448748;0.7000;136.0
-397.029783672;0.7000;137.0
-397.028101792;0.7000;138.0
-397.026405561;0.7000;139.0
-397.024697481;0.7000;140.0
-397.022980097;0.7000;141.0
-397.021255999;0.7000;142.0
-397.019527823;0.7000;143.0
-397.017798244;0.7000;144.0
-397.01606998;0.7000;145.0
-397.014345784;0.7000;146.0
-397.012628446;0.7000;147.0
-397.010920789;0.7000;148.0
-397.009225663;0.7000;149.0
-397.007545944;0.7000;150.0
-397.005884527;0.7000;151.0
-397.004244324;0.7000;152.0
-397.002628255;0.7000;153.0
-397.001039244;0.7000;154.0
-396.999480213;0.7000;155.0
-396.997954074;0.7000;156.0
-396.996463721;0.7000;157.0
-396.995012025;0.7000;158.0
-396.993601819;0.7000;159.0
-396.992235897;0.7000;160.0
-397.014981733;0.7000;70.0
-397.017946058;0.7000;71.0
-397.02081397;0.7000;72.0
-397.023585715;0.7000;73.0
-397.026261477;0.7000;74.0
-397.028841399;0.7000;75.0
-397.031325597;0.7000;76.0
-397.033714184;0.7000;77.0
-397.036007276;0.7000;78.0
-397.03820501;0.7000;79.0
-397.040307547;0.7000;80.0
-397.042315086;0.7000;81.0
-397.044227862;0.7000;82.0
-397.046046159;0.7000;83.0
-397.04777031;0.7000;84.0
-397.049400696;0.7000;85.0
-397.050937756;0.7000;86.0
-397.05238198;0.7000;87.0
-397.053733917;0.7000;88.0
-397.054994167;0.7000;89.0
-397.056163388;0.7000;90.0
-397.057242289;0.7000;91.0
-397.058231636;0.7000;92.0
-397.059132242;0.7000;93.0
-397.059944972;0.7000;94.0
-397.060670739;0.7000;95.0
-397.061310501;0.7000;96.0
-397.061865262;0.7000;97.0
-397.062336066;0.7000;98.0
-397.062723998;0.7000;99.0
-397.468577404;0.7500;100.0
-397.468704513;0.7500;101.0
-397.46875437;0.7500;102.0
-397.468728096;0.7500;103.0
-397.468626837;0.7500;104.0
-397.468451772;0.7500;105.0
-397.468204104;0.7500;106.0
-397.467885064;0.7500;107.0
-397.467495909;0.7500;108.0
-397.467037926;0.7500;109.0
